"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","","AD0","CATEGORY","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CONNECTOR TYPE","CONTACT MATING LENGTH","CONTACT TYPE","ESR (EQUIVALENT SERIES RESISTANCE)","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUNCTION","HEIGHT - SEATED (MAX)","LATESTREVISIONDATE","LATESTREVISIONNOTE","LOAD CAPACITANCE","MANUFACTURER 1","MANUFACTURER PART NUMBER 1","MANUFACTURER SIZE CODE","MATERIAL","MATING CONNECTOR","MOUNTING TYPE","NUMBER OF POSITIONS","NUMBER OF ROWS","NUMBER OF TURNS","OPERATING MODE","OPERATING TEMPERATU","OPERATING TEMPERATURE","PACKAGE / CASE","PARAMETER NAME","PITCH","POSITIONS PER LEVEL","PUBLISHER","QTYOVERRIDE","RATINGS","ROW SPACING","SIZE / DIMENSION","SUPPLIER 1","SUPPLIER PART NUMBER 1","TERMINAL BLOCK TYPE","TOLERANCE","TRANSISTOR TYPE","TYPE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"24LC64","DFN-MD8","","","","","","24LC64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*?",""
"74LVC1G04GW","SOT-23-CT5_N","","","","","","74LVC1G04GW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*?",""
"74LVC1G125GW","SOT-23-CT5_N","","","","","","74LVC1G125GW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U??",""
"8P_TERM BLOCK HEADER","8P_PCB_TERM BLOCK HDR","","","","","Connectors","8P_TERM BLOCK HEADER","","","","","","","","","","","","","","","Tyco Electronics","284517-8","","","284507-8","Through Hole","","","","","","","Side Entry; 3.81mm pitch","","0.150" (3.81mm)","8","","","","","","Digi-Key","J19G$1","Header, Male Pins, Shrouded (4 Side)","","","","8 position","300V","","J?","Terminal Block, THT, 8-Position header, 3.81mm pitch"
"ALPS-SKQU","SOT-23-CH6_L","","","","","","ALPS-SKQU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"AT45DB081D-SU","SOIC-SN8_M","","","","","","AT45DB081D-SU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"BZ_12x8.5x6.5_2kHz","BUZZER_12.0X8.5MM","","","","","","Alternate part: 3100-932","","","","","","","","","","","","","","","CUI Inc","SPEAKER","","Noryl SE1-J","","","","","","","","","6.5mm pitch","","","","","","2048 ?00 Hz","","","Digi-Key","102-1152-ND","","","","","","","","BZ?","Speaker, Magnetic Transducer"
"CAPC_100n_0805","CAPC1608N","CAPC3216N","CAPC2012N","","","","approved sub OK","","","","","","","","","","","","","","","Kemet","C0805C104K5RACTU","","ceramic","","","","","","","","","0805 (2012 metric)","","","","","","50V; X7R","","","Digi-Key","399-1170-1-ND","","?0%","","","100nF","","","C?","Capacitor SMD Cer 100nF 10% 50V X7R 0805"
"CAPT_100u_1210_6V3","CAPMP3528X210N","","","100uF/16V","","","=Value","","","","","","","","","","","","","","","AVX Corporation","TCJB107M006R0045","","Tantalum","","","","","","","","","1210 (3528 Metric)","","","","","","","","","Digi-Key","478-4711-1-ND","","?0%","","","","","","C?","Capacitor SMD Tantalum 100uF 20% 6.3V 1210"
"CAPT_1u_0805_10V","CAPMP2012X150USR","","","","","","=Value","http://www.avx.com/docs/Catalogs/tajlp.pdf","http://www.avx.com/docs/Catalogs/tajlp.pdf","","","","6.000 Ohm","","","","","0.059" (1.50mm)","","","","AVX Corporation","TAJP106M010RNJ","P","Tantalum","","","","","","","-55°C ~ 125°C","","0805 (2012 metric)","","","","","","22uF/10V","","0.081" L x 0.053" W (2.05mm x 1.35mm)","Digi-Key","478-3281-1-ND","","?0%","","Molded","","","","C?","Capacitor SMD Tantalum 1uF 20% 10V 0805"
"CAT811S","SOT-143-RC4_N","","","","","","CAT811S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"CONN_HEADER_1x3P_0.100in","1x3POS_HEADER","","","","","Connectors","CONN_HEADER_1x3P_0.100in","","","","","","","","","","","","","","","3M","929647-09-36-I","","","","Through Hole","","","","","","","Pin header; 2.54mm pitch","","0.100" (2.54mm)","","","0.1","","","","","","Header, Male Pins, Single","","","","Single-row, 3 positions","","","J?","Pin Header, THT, Single-row, 2.54mm pitch"
"CONN_PWR_JACK_2.1x5.5mm","CONN_PWR_JACK_2.1x5.5mm","","","","","Connectors","CONN_PWR_JACK_2.1x5.5mm","","","","","","","","","","","","","","","CUI Inc","PJ-102AH","","","","Through Hole","","","","","","","PCB mount","","","","","","","","","Digi-Key","CP-102AH-ND","","","","","2.1mm ID, 5.5mm OD","","","J??","Power Connector, THT, 2.1mm ID, 5.5mm OD"
"CONN_SOCKET_2x3P_0.100in_Female","6P_PCB_SOCKET_BRD_MNT_MICRO-MATCH","","","","","","micro-match socket","http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTtm8T_oxMcEVuQEcuZgVs6EVs6E666666--","http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTtm8T_oxMcEVuQEcuZgVs6EVs6E666666--","Receptacle","0.243" (6.17mm)","Female Socket","","","","","","","","","","TE Connectivity","7-215079-6","","","","","6","2","","","","","Connector header; 2.54mm pitch","","0.100" (2.54mm)","","","1","","0.100" (2.54mm)","","Digi-Key","A30729CT-ND","","","","","Double-row, 14 positions","","","J?","Socket THD 6 POS Double-row 2.54mm pitch"
"Crystal_6MHz_HC49/US","CRYSTAL_HC49-US-SM","","","","","","12MHz","http://www.ctscorp.com/components/Datasheets/008-0309-0.pdf","http://www.ctscorp.com/components/Datasheets/008-0309-0.pdf","","","","","6MHz","?0ppm","?0ppm","","","","","18pF","CTS-Frequency Controls","ATS060BSM-1","","","","Surface Mount","","","","Fundamental","","-20°C ~ 70°C","HC49/US-SM","0.169" (4.30mm)","","","","","6.00 MHz","","0.437" L x 0.190" W (11.10mm x 4.83mm)","Digi-Key","CTX882CT-ND","","","","MHz Crystal","","","","XT?","Resonator Ceramic 6.00 MHz 30ppm"
"DIODE_1N4148_200mA_SOD523F","SOD523F","","","","","","=Value","","","","","","","","","","","","","","","","","","Si","","","","","","","","","SC-79, SOD-523F","","","","","","Vr=75V; Vf=1V@10mA; Io=200mA","","","Digi-Key","1N4148WTCT-ND","","","","","4448","","","D?","Diode SMD small signal 0.2A SOD-523F"
"Header 4X2","HDR2X4","","","","","","Header 4X2","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","","SW??","Header, 4-Pin, Dual row"
"Header 5X2","HDR2X5","","","","","","Header 5X2","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","","SW??","Header, 5-Pin, Dual row"
"LAN8720A-CP","QFN-MJ24","","","","","","LAN8720A-CP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"LED_SMD_Green_0805_8mcd","LED-0805-K","","","","","","Green","","","","","","","","","","","","","","","Ligitek","LG-170PG-CT","","GaP","","","","","","","","","0805","","","","","","8 mcd; 558 nm","","","","","","","","","","","","LED?","LED, 0805 SMD, Green"
"LED_SMD_Red_0805","LED-0805-A","","","","","","Red","","","","","","","","","","","","","","","Ligitek","LG170SR-CT","","GaAIAs","","","","","","","","","0805","","","","","","20 mcd; 643 nm","","","","","","","","","","","","LED?","LED, 0805 SMD, Red"
"LM1117M3-3.3","SOT-89-MB3_M","","","","","","LM1117M3-3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"LM4811MM","MSOP-UN10_N","","","","","","LM4811MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"LPC176X","TQFP-PT100_N","","","","","","LPC176X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IC?",""
"MCP6022","MSOP-UA8_L","","","","","","MCP6022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"MMC-SD-SDDMF-0095B-KINGFONT","","","","","","","MMC-SD-SDDMF-0095B-KINGFONT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"PNP_NSS60600MZ4T1G","SOT223","","","","","","PNP","","","","","","","","","","","","","","","ON Semiconductor","BCX17","","Si","","Surface Mount","","","","","","","SOT-223","","","","","","60V; 6A; 800mW","","","Digi-Key","NSS60600MZ4T1GOSCT-ND","","","PNP","","","","","Q?","Transistor SMD PNP 60V 6A 800mW SOT-223"
"PRTR5V0U2X","SOT-143-RC4_N","","","","","","PRTR5V0U2X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"RES_10K_0805_5%","RESC2012N","","","","","","Thick Film","","","","","","","","","","","","","","","Yageo","RC0805JR-0710KL","","Thick Film","","","","","","","","","0805 (2012 metric)","","","","","","1/8 W","","","Digi-Key","311-10KARCT-ND","","?%","","","10K","","","R?","Resistor SMD chip 10k Ohm 0.125W 5% 0805"
"RES_330R_0402_5%","RESC1005N","","","","","","Thick Film","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf","","","","","","","","","","","","","Yageo","RC0402JR-07330RL","","","","","","","","","","","0402 (1005 Metric)","","","","","","1/16 W","","","Digi-Key","311-330JRCT-ND","","?%","","","270R","","","R?","Resistor SMD chip 330 Ohm 0.063W 5% 0402"
"RES_470R_0603_5%","RESC1608N","","","","","","Thick Film","","","","","","","","","","","","","","","Vishay/Dale","CRCW0603470RJNEA","","Thick Film","","","","","","","","","0603 (1608 metric)","","","","","","1/10 W","","","Digi-Key","541-470GCT-ND","","?%","","","470R","","","R?","Resistor SMD chip 470 Ohm 0.1W 5% 0603"
"RES_TRIMMER_10K_5T_SMD","TrimPot_SMD_Bourns_3214G","","","","","","","","","","","","","","","","","","","","","Bourns Inc.","3214G-1-103E","","","","","","","5","","","","","","","","","","5 turn variable cermet","","","Digi-Key","3214G-1-103ECT-ND","","10%","","","22k","","","R?","Trimmer SMD 10K 250mW 5-turn Side-adjust"
"SW_THT_PB_5.0mm","TACT-SWITCH-TC-37XB","","","","","","SW_THT_PB_5.0mm","","","","","","","","","","On/Off","","","","","Wealth Metal","TC-37XB","","Brass/Nylon/Ag plating","","","","","","","","","6.5x6.5mm; 5.0mm stem","","","","","","","","","","","","","","","","","","S?","Switch, tact, 5.0mm stem"
"USB_Mini-B","USB_Mini-B_Molex_SMT","","","","","","USB_Mini-B","","","","","","","","","","","","","","","Molex Connector Corporation","67503-1020","","","","","","","","","","","SMD","","","","","","","","","Digi-Key","WM5461CT-ND","","","","","","","","J?","Connector SMD USB Type Mini-B"
